,book_name,summary,categories
124,Exploring The World Of Lucid Dreaming, is a practical guide to dreaming consciously which uncovers an invaluable channel of communication between your conscious and unconscious mind.,science
125,The Sports Gene," is a look at how genes affect our abilities, motivations, and endurance in sports, explaining why some people are better suited for certain sports than others.",science
126,The Brain That Changes Itself, explores the groundbreaking research in neuroplasticity and shares fascinating stories of people who can use the brain’s ability to adapt and be cured of ailments previously incurable. ,science
127,Psycho-Cybernetics," explains how thinking of the human mind as a machine can help improve your self-image, which will dramatically increase your success and happiness.",science
128,Altered Traits, explores the science behind meditation techniques and the way they benefit and alter our mind and body.,science
129,Merchants of Doubt," explains how a small but loud group of researchers were able to mislead the public about the truths around global warming, tobacco, DDT, and other important issues for decades. ",science
130,How Not To Die, delivers a template for extending your life based on scientific research which recommends switching to a mainly plant-based diet. ,science
131,Behave," sets out to explain the reason behind human behavior, good or bad, by exploring the influences of brain chemistry and our environment.",science
132,Brainstorm, is a fascinating look into the teenage brain that explains why adolescents act so hormonally and recklessly.,science
133,On The Origin Of Species, is the foundational book for modern evolutionary biology that marked a turning point in how we think about the beginnings of humankind.,science
134,How Emotions Are Made, explores the often misconstrued world of human feelings and the cutting-edge science behind how they’re formed.,science
135,Against Empathy, explains the problems with society’s obsession with empathy and explores its limitations while giving us useful alternatives for situations in which it doesn’t work.,science
136,The Biology of Belief," is an overview of the recent findings in cellular biology, which are redefining the way we look at evolution, genetics and the nature of life.",science
137,The Hidden Life of Trees," describes how trees can communicate, support each other, learn from experience, and form alliances with other inhabitants of the forest.",science
138,Silent Spring," is the story that sparked the global grassroots environmental movement in 1962, explaining how chemical pesticides work, what their drawbacks are, and how we can protect crops in better, more sustainable ways.",science
139,Aware," is a comprehensive overview of the far-reaching benefits of meditation, rooted in both science and practice, enriched with actionable advice on how to practice mindfulness. ",science
140,Lost Connections," explains why depression affects so many people and that improving our relationships, not taking medication, is the way to beat our mental health problems.",science
141,The Age of Empathy," explains that empathy comes natural to humans, as it does to most other animals, and that we’re not wired to be selfish and violent, but kind and cooperative.",science
142,Counterclockwise, is a critical look at current perspectives on health with a particular focus on how we can improve our own when we shift from being mindless to mindful.,science
143,The Yes Brain," offers parenting techniques that will give your kids an open attitude towards life, balance, resilience, insight, and empathy.",science
144,Born To Run," explains the natural benefits of long-distance running, and how you can become a better runner too, based on several years of research, experiences, and training.",science
145,The Tao of Physics," questions many biases about Western science and Eastern spirituality, showing the close connections between the principles of physics and those of Buddhism, Hinduism, and Taoism",science
146,Rest," examines why traditional methods of working too long and hard are inefficient compared to working less, resting, and playing to accomplish your best work.",science
147,The Blue Zones Solution," shows you how to adopt the lifestyle and mindset practices of the healthiest, longest-living people on the planet from the five locations with the highest population of centenarians.",science
148,"Write It Down, Make It Happen"," is a simple guide to help you accomplish your goals through the act of writing, showing you how to use this basic skill to focus, address fears, and stay motivated.",science
149,Atomic Habits," is the definitive guide to breaking bad behaviors and adopting good ones in four steps, showing you how small, incremental, everyday routines compound into massive, positive change over time.",science
150,Homo Deus, illustrates the history of the human race from how we came to be the dominant species over what narratives are shaping our lives today all the way to which obstacles we must overcome next to continue to thrive.,science
151,The Chimp Paradox," uses a simple analogy to help you take control of your emotions and act in your own, best interest, whether it’s in making decisions, communicating with others, or your health and happiness.",science
152,Factfulness," explains how our worldview has been distorted with the rise of new media, which ten human instincts cause erroneous thinking, and how we can learn to separate fact from fiction when forming our opinions.",science
153,Problem Solving 101," is a universal, four-step template for overcoming challenges in life, based on a traditional method Japanese school children learn early on.",science
154,Skin In The Game," is an assessment of asymmetries in human interactions, aimed at helping you understand where and how gaps in uncertainty, risk, knowledge, and fairness emerge, and how to close them.",science
155,When: The Scientific Secrets of Perfect Timing," breaks down the science of time so you can stop guessing when to do things and pick the best times to work, eat, sleep, have your coffee and even quit your job.",science
156,Leonardo Da Vinci," is Walter Isaacson’s account of the life of one of the most brilliant artists, thinkers, and innovators who ever lived.",science
157,Barking Up The Wrong Tree," turns standard success advice on its head by looking at both sides of many common arguments, like confidence, extroversion, or being nice, concluding it’s really other factors that decide if we win, and we control more of them than we think.",science
158,Emotional Agility," provides a new, science-backed approach to navigating life’s many trials and detours on your path to fulfillment, with which you’ll face your emotions head on, observe them objectively, make choices based on your values and slowly tweak your mindset, motivation and habits.",science
159,The Road Less Traveled," is a spiritual classic, combining scientific and religious views to help you grow by confronting and solving your problems through discipline, love and grace.",science
160,The Myth Of Multitasking," explains why doing everything at once is neither efficient, nor even possible, and gives you practical steps for more focus in the workplace.",science
161,Long-Term Thinking For A Short-Sighted World," explains why we rarely think about the long-term consequences of our actions, how this puts our entire species in danger and what we can do to change and ensure a thriving future for mankind.",science
162,Genius: The Life And Science Of Richard Feynman," tells the story of one the greatest minds in the history of science, all the way from his humble beginnings to changing physics as we know it and receiving the Nobel prize.",science
163,Payoff," unravels the complex construct that is human motivation and shows you how it consists of many more parts than money and recognition, such as meaning, effort and ownership, so you can motivate yourself not just today, but every day.",science
164,Peak," accumulates everything the pioneer researcher on deliberate practice has learned about expert performance through decades of exploration and analysis of what separates those, who are average, from those, who are world-class at what they do.",science
165,The Habit Blueprint," strips down behavior change to its very core, giving you the ultimate, research-backed recipe for cultivating the habits you desire, with plenty of backup steps you can take to maximize your chances of success.",science
166,Decisive," gives you a scientific, 4-step approach to making better decisions in your life and career, based on an extensive study of the available literature and research on the topic.",science
167,A Short History Of Nearly Everything," explains everything we’ve learned about our world and the universe so far, including how they formed, how we learned to make sense of time, space and gravity, why it’s such a miracle that we’re alive and how much of our planet is still a complete mystery to us.",science
168,The Art Of Choosing," extensively covers the scientific research made about human decision making, showing you what affects how you make choices, how the consequences of those choices affect you, as well as how you can adapt to these circumstances to make better decisions in the future.",science
169,Forensics: The Anatomy Of Crime," gives you an inside looks at all the different fields of criminal forensics and their history, showing you how the investigation and evidence-collection of crimes has changed dramatically within the last 200 years, helping us find the truth behind more and more crimes.",science
170,The Magic Of Reality," explains many of the world’s natural phenomenons in a scientific way, so that you can understand how the elementary components of our planet work together to logically, yet beautifully, create the place we all call home.",science
171,The End Of Average," explains the fundamental flaws with our culture of averages, in which we design everything for the average person, when that person doesn’t exist, and shows how we can embrace our individuality and use it to succeed in a world that wants everyone to be the same.",science
172,How Not To Be Wrong," shows you that math is really just the science of common sense and that studying a few key mathematical ideas can help you assess risks better, make the right decisions, navigate the world effortlessly and be wrong a lot less.",science
173,Grit," describes what creates outstanding achievements, based on science, interviews with high achievers from various fields and the personal history of success of the author, Angela Duckworth, uncovering that achievement isn’t reserved for the talented only, but for those with passion and perseverance.",science
174,Made To Stick," examines advertising campaigns, urban myths and compelling stories to determine the six traits that make ideas stick in our brains, so you don’t just know why you remember some things better than others, but can also spread your own ideas more easily among the right people.",science
175,The Botany Of Desire," describes how, contrary to popular belief, we might not be using plants as much as plants use us, by getting humans to ensure their survival, thanks to appealing to our desires for beauty, sweetness, intoxication and control.",science
176,The Magic of Math," shows you not only the power, but also the beauty of mathematics, unlike you’ve ever seen it in school and with practical, real-world applications.",science
177,The Genius Of Birds," shines a new light on a genuinely underrated kind of vertebrate by explaining birds’ capacities to be social, intelligently solve challenges, learn languages, be artistic and navigate the planet.",science
178,The Evolution Of Everything," compares creationist to evolutionist thinking, showing how the process of evolution we know from biology underlies and permeates the entire world, including society, morality, religion, culture, economics, money, innovation and even the internet.",science
179,The Singularity Is Near," outlines the future of technology by describing how change keeps accelerating, what computers will look like and be made of, why biology and technology will become indistinguishable and how we can’t possibly predict what’ll happen after 2045.",science
180,The Selfish Gene," explains the process of evolution in biology using genes as its basic unit, showing how they manifest in the form of organisms, what they do to ensure their own survival, how they program our brains, which strategies have worked best throughout history and what makes humans so special in this context.",science
181,Elon Musk," is the first official biography of the creator of SolarCity, SpaceX and Tesla, based on over 30 hours of conversation time between author Ashlee Vance",science
182,Einstein: His Life And Universe," takes a close look at the life of Albert Einstein, beginning in how his childhood shaped him, what his biggest discoveries and personal struggles were and how his focus changed in later years, without his genius ever fading until his very last moment.",science
183,Smarter," is one “slow learner” turned A student’s experimental account of improving his intelligence by 16% through various tests, lessons and exercises and explains how you can increase your intelligence in scientifically proven ways.",science
184,Hackers and Painters," is a collection of essays by Y Combinator founder Paul Graham about what makes a good computer programmer and how you can code the future if you are one, making a fortune in the process.",science
185,Everything Is Obvious," shows you that common sense isn’t as reliable as you think it is, because it often fails us in helping to make predictions, and how you can change the way you or your company make decisions with more scientific, statistically grounded methods.",science
186,Oxygen," helps you understand the biology of our evolution by taking a close look at the molecule that can make and break all life and how it’s shaped the rise of animals, plants and humans, as well as why it might be the key to ending aging.",science
187,Predictably Irrational," explains the hidden forces that really drive how we make decisions, which are far less rational than we think, but can help us stay on top of our finances, interact better with others and live happier lives, once we know about them.",science
188,The Talent Code," cracks open the myth of talent and breaks it down from a neurological standpoint into three crucial parts, which anyone can pull together to become a world-class performer, artist, or athlete and form something they used to believe was not even within their own hands.",science
189,Abundance," shows you the key technological trends being developed today, to give you a glimpse of a future that’s a lot brighter than you think and help you embrace the optimism we need to make it happen.",science
190,Why We Love," delivers a scientific explanation for love, shows you how it developed historically and evolutionarily, tells you what we’re all attracted to and where we differ, and of course gives you actionable advice to deal with both the exciting, successful romance in your life, as well as its sometimes inevitable fallout.",science
191,Freakonomics," helps you make better decisions by showing you how your life is dominated by incentives, how to close information asymmetries between you and the experts that exploit you and how to really tell the difference between causation and correlation.",science
